name,favorite_movie,second_favorite_movie,preferred_political_party,ideal_diet
Marilyn Monroe,Gone with the Wind,Gone with the Wind,left wing,balanced
Goku,Lord of the Rings: The Fellowship of the Ring,Avengers: Endgame,very left wing,dairy-heavy
Sheldon Cooper,The Dark Knight,Jurassic Park,very right wing,meat-heavy
Thor,Pulp Fiction,The Dark Knight,very right wing,plant-heavy
Katniss Everdeen,Gone with the Wind,Gone with the Wind,right wing,meat-heavy
Tom Hanks,The Shawshank Redemption,The Shawshank Redemption,very left wing,balanced
Marilyn Monroe,The Matrix,Back to the Future,very right wing,meat-heavy
Luke Skywalker,The Godfather,Titanic,very right wing,fruit-heavy
Jack Sparrow,Avengers: Endgame,Lord of the Rings: The Fellowship of the Ring,very right wing,plant-heavy
Mario,Back to the Future,Star Wars: Episode IV,very right wing,meat-heavy
Tony Stark,The Lion King,Toy Story,very right wing,meat-heavy
Naruto,Shrek,Shrek,right wing,dairy-heavy
Superman,Psycho,Psycho,right wing,dairy-heavy
Serena Williams,Toy Story,The Lion King,right wing,dairy-heavy
Simba,Toy Story,The Lion King,left wing,meat-heavy
The Rock,Lord of the Rings: The Fellowship of the Ring,The Dark Knight,left wing,meat-heavy
Mario,Psycho,Gone with the Wind,very right wing,fruit-heavy
Jack Sparrow,Star Wars: Episode IV,Inception,left wing,plant-heavy
Mario,Back to the Future,Inception,left wing,meat-heavy
Thor,Back to the Future,Blade Runner,very right wing,balanced
Scarlett Johansson,Shrek,Frozen,left wing,plant-heavy
Hannibal Lecter,The Lion King,The Lion King,left wing,dairy-heavy
Indiana Jones,Casablanca,Casablanca,very left wing,meat-heavy
Tony Stark,The Shawshank Redemption,Titanic,right wing,meat-heavy
The Rock,Toy Story,Shrek,right wing,balanced
Lady Gaga,Forrest Gump,Forrest Gump,very right wing,meat-heavy
Elsa,The Lion King,Shrek,very right wing,plant-heavy
Walter White,Back to the Future,The Matrix,right wing,balanced
Mulan,Fight Club,Forrest Gump,left wing,plant-heavy
Hermione Granger,Toy Story,Toy Story,right wing,dairy-heavy
Luffy,Shrek,Finding Nemo,right wing,meat-heavy
Indiana Jones,Citizen Kane,Casablanca,very right wing,meat-heavy
Neo,Shrek,Frozen,very right wing,meat-heavy
Captain America,Avengers: Endgame,Jurassic Park,very right wing,fruit-heavy
Morpheus,Toy Story,The Lion King,very right wing,dairy-heavy
Luffy,Jurassic Park,Lord of the Rings: The Fellowship of the Ring,very left wing,balanced
Wolverine,Lord of the Rings: The Fellowship of the Ring,The Dark Knight,right wing,dairy-heavy
Dexter Morgan,The Godfather,Forrest Gump,left wing,balanced
Sheldon Cooper,Forrest Gump,Forrest Gump,right wing,meat-heavy
Goku,The Matrix,Star Wars: Episode IV,left wing,fruit-heavy
Thor,Shrek,Shrek,right wing,balanced
The Rock,Finding Nemo,Toy Story,right wing,fruit-heavy
Naruto,Jurassic Park,Pulp Fiction,very right wing,meat-heavy
Tony Stark,Avengers: Endgame,The Dark Knight,right wing,fruit-heavy
Lara Croft,The Lion King,Toy Story,very left wing,meat-heavy
Freddie Mercury,Star Wars: Episode IV,The Matrix,left wing,fruit-heavy
Lara Croft,The Godfather,Fight Club,right wing,fruit-heavy
Taylor Swift,The Godfather,Fight Club,right wing,dairy-heavy
Serena Williams,Finding Nemo,Finding Nemo,very right wing,fruit-heavy
James Bond,Jurassic Park,Avengers: Endgame,very left wing,balanced
